time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2016-04-01T00:00:00.000Z","LatLng(23.8, 90.3)","-2.8","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-01-01T00:00:00.000Z","LatLng(23.8, 90.3)","5.94","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-02-01T00:00:00.000Z","LatLng(23.8, 90.3)","1.54","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-03-01T00:00:00.000Z","LatLng(23.8, 90.3)","3.14","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-04-01T00:00:00.000Z","LatLng(23.8, 90.3)","4.87","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-01-01T00:00:00.000Z","LatLng(23.8, 90.3)","5.41","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-02-01T00:00:00.000Z","LatLng(23.8, 90.3)","3.27","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-03-01T00:00:00.000Z","LatLng(23.8, 90.3)","3.97","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-04-01T00:00:00.000Z","LatLng(23.8, 90.3)","-0.17","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2019-01-01T00:00:00.000Z","LatLng(23.8, 90.3)","8.36","Normal","Invalid DateTime","JAXA","Jan 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2019-02-01T00:00:00.000Z","LatLng(23.8, 90.3)","5.11","Normal","Invalid DateTime","JAXA","Feb 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2019-03-01T00:00:00.000Z","LatLng(23.8, 90.3)","3.45","Normal","Invalid DateTime","JAXA","Mar 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2019-04-01T00:00:00.000Z","LatLng(23.8, 90.3)","0.61","Normal","Invalid DateTime","JAXA","Apr 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2020-01-01T00:00:00.000Z","LatLng(23.8, 90.3)","7.12","Low","Invalid DateTime","JAXA","January value GOSAT","GREEN","GOSAT_XCO2"
"2020-02-01T00:00:00.000Z","LatLng(23.8, 90.3)","5.22","Low","Invalid DateTime","JAXA","February value GOSAT","GREEN","GOSAT_XCO2"
"2020-03-01T00:00:00.000Z","LatLng(23.8, 90.3)","2.7","Low","Invalid DateTime","JAXA","March value GOSAT","GREEN","GOSAT_XCO2"
"2020-04-01T00:00:00.000Z","LatLng(23.8, 90.3)","0.36","Low","Invalid DateTime","JAXA","April value GOSAT","GREEN","GOSAT_XCO2"
