time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2016-04-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","5.05","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-01-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","5.6","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-02-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","6.16","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-03-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","8.79","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2017-04-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","3.18","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-01-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","6.25","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-03-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","4.84","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2018-04-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","5.91","Normal","Invalid DateTime","JAXA","GOSAT","BLUE",""
"2019-01-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","6.3","Normal","Invalid DateTime","JAXA","Jan 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2019-02-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","4.78","Normal","Invalid DateTime","JAXA","Feb 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2019-03-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","-7.64","Normal","Invalid DateTime","JAXA","Mar 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2019-04-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","3.85","Normal","Invalid DateTime","JAXA","Apr 2016-2019 average value GOSAT","BLUE","GOSAT_XCO2"
"2020-01-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","5.5","Low","Invalid DateTime","JAXA","January value GOSAT","GREEN","GOSAT_XCO2"
"2020-02-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","4.5","Low","Invalid DateTime","JAXA","February value GOSAT","GREEN","GOSAT_XCO2"
"2020-03-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","4.44","Low","Invalid DateTime","JAXA","March value GOSAT","GREEN","GOSAT_XCO2"
