,Country Name,Indicator Name,Year,Value
0,Beijing,NO2 Emission Beijing,43227,194.21602
1,Beijing,NO2 Emission Beijing,43241,143.73322
2,Beijing,NO2 Emission Beijing,43255,133.34633
3,Beijing,NO2 Emission Beijing,43269,130.20685
4,Beijing,NO2 Emission Beijing,43283,151.9191
5,Beijing,NO2 Emission Beijing,43297,100.88052
6,Beijing,NO2 Emission Beijing,43311,132.97638
7,Beijing,NO2 Emission Beijing,43325,125.15008
8,Beijing,NO2 Emission Beijing,43339,140.02211
9,Beijing,NO2 Emission Beijing,43353,163.62474
10,Beijing,NO2 Emission Beijing,43367,147.54341
11,Beijing,NO2 Emission Beijing,43381,227.5215
12,Beijing,NO2 Emission Beijing,43395,249.27321
13,Beijing,NO2 Emission Beijing,43409,315.11633
14,Beijing,NO2 Emission Beijing,43423,427.52838
15,Beijing,NO2 Emission Beijing,43437,274.98447
16,Beijing,NO2 Emission Beijing,43451,244.09564
17,Beijing,NO2 Emission Beijing,43465,335.6872
18,Beijing,NO2 Emission Beijing,43479,303.92358
19,Beijing,NO2 Emission Beijing,43493,193.37407
20,Beijing,NO2 Emission Beijing,43507,183.15262
21,Beijing,NO2 Emission Beijing,43521,234.0039
22,Beijing,NO2 Emission Beijing,43535,205.82376
23,Beijing,NO2 Emission Beijing,43549,263.34204
24,Beijing,NO2 Emission Beijing,43563,205.36371
25,Beijing,NO2 Emission Beijing,43577,122.452034
26,Beijing,NO2 Emission Beijing,43591,149.01881
27,Beijing,NO2 Emission Beijing,43605,139.87617
28,Beijing,NO2 Emission Beijing,43619,115.33598
29,Beijing,NO2 Emission Beijing,43633,122.14232
30,Beijing,NO2 Emission Beijing,43647,108.63228
31,Beijing,NO2 Emission Beijing,43661,97.83054
32,Beijing,NO2 Emission Beijing,43675,115.58258
33,Beijing,NO2 Emission Beijing,43689,133.94655
34,Beijing,NO2 Emission Beijing,43703,106.762314
35,Beijing,NO2 Emission Beijing,43717,181.78482
36,Beijing,NO2 Emission Beijing,43731,102.61245
37,Beijing,NO2 Emission Beijing,43745,214.8165
38,Beijing,NO2 Emission Beijing,43759,276.91577
39,Beijing,NO2 Emission Beijing,43773,315.00677
40,Beijing,NO2 Emission Beijing,43787,329.99915
41,Beijing,NO2 Emission Beijing,43801,269.75717
42,Beijing,NO2 Emission Beijing,43815,356.8492
43,Beijing,NO2 Emission Beijing,43829,246.73047
44,Beijing,NO2 Emission Beijing,43843,284.26385
45,Beijing,NO2 Emission Beijing,43857,128.8456
46,Beijing,NO2 Emission Beijing,43871,135.21263
47,Beijing,NO2 Emission Beijing,43885,106.93086
48,Beijing,NO2 Emission Beijing,43899,134.7086
49,Beijing,NO2 Emission Beijing,43913,151.10918
50,Beijing,NO2 Emission Beijing,43927,172.74985
51,Beijing,NO2 Emission Beijing,43941,110.063614
52,Beijing,NO2 Emission Beijing,43955,113.338646
53,Beijing,NO2 Emission Beijing,43969,97.59989
54,Beijing,NO2 Emission Beijing,43983,127.46714
55,Beijing,NO2 Emission Beijing,43997,102.15727
56,Beijing,NO2 Emission Beijing,44011,75.144035
57,Beijing,NO2 Emission Beijing,44025,75.16777
58,Beijing,NO2 Emission Beijing,44039,91.363525
59,Beijing,NO2 Emission Beijing,44053,84.70308
60,Beijing,NO2 Emission Beijing,44067,98.86076
61,Beijing,NO2 Emission Beijing,44081,94.63253
62,Beijing,NO2 Emission Beijing,44095,121.43706
63,Beijing,NO2 Emission Beijing,44109,250.11293
64,Beijing,NO2 Emission Beijing,44123,222.24084
65,Beijing,NO2 Emission Beijing,44137,303.5418
66,Beijing,NO2 Emission Beijing,44151,204.21289
67,Beijing,NO2 Emission Beijing,44165,426.01047
68,Beijing,NO2 Emission Beijing,44179,496.80075
69,Beijing,NO2 Emission Beijing,44193,202.87762
70,Beijing,NO2 Emission Beijing,44207,383.35593
71,Beijing,NO2 Emission Beijing,44221,221.97365
72,Beijing,NO2 Emission Beijing,44235,200.47064
73,Beijing,NO2 Emission Beijing,44249,279.9729
74,Beijing,NO2 Emission Beijing,44263,183.36963
75,Beijing,NO2 Emission Beijing,44277,192.92244
76,Beijing,NO2 Emission Beijing,44291,216.58022
77,Beijing,NO2 Emission Beijing,44305,117.94691
78,Beijing,NO2 Emission Beijing,44319,
79,Beijing,NO2 Emission Beijing,44333,
80,Beijing,NO2 Emission Beijing,44347,
81,Dhaka,CO2 Emission Dhaka,42461,-2.8
82,Dhaka,CO2 Emission Dhaka,42736,5.94
83,Dhaka,CO2 Emission Dhaka,42767,1.54
84,Dhaka,CO2 Emission Dhaka,42795,3.14
85,Dhaka,CO2 Emission Dhaka,42826,4.87
86,Dhaka,CO2 Emission Dhaka,43101,5.41
87,Dhaka,CO2 Emission Dhaka,43132,3.27
88,Dhaka,CO2 Emission Dhaka,43160,3.97
89,Dhaka,CO2 Emission Dhaka,43191,-0.17
90,Dhaka,CO2 Emission Dhaka,43466,8.36
91,Dhaka,CO2 Emission Dhaka,43497,5.11
92,Dhaka,CO2 Emission Dhaka,43525,3.45
93,Dhaka,CO2 Emission Dhaka,43556,0.61
94,Dhaka,CO2 Emission Dhaka,43831,7.12
95,Dhaka,CO2 Emission Dhaka,43862,5.22
96,Dhaka,CO2 Emission Dhaka,43891,2.7
97,Dhaka,CO2 Emission Dhaka,43922,0.36
98,New York,NO2 Emission New York,43227,155.08643
99,New York,NO2 Emission New York,43241,110.78
100,New York,NO2 Emission New York,43255,95.689964
101,New York,NO2 Emission New York,43269,89.16576
102,New York,NO2 Emission New York,43283,98.917145
103,New York,NO2 Emission New York,43297,92.473625
104,New York,NO2 Emission New York,43311,95.939095
105,New York,NO2 Emission New York,43325,90.41206
106,New York,NO2 Emission New York,43339,95.120415
107,New York,NO2 Emission New York,43353,117.58409
108,New York,NO2 Emission New York,43367,91.76366
109,New York,NO2 Emission New York,43381,74.82764
110,New York,NO2 Emission New York,43395,112.835045
111,New York,NO2 Emission New York,43409,102.5562
112,New York,NO2 Emission New York,43423,125.92708
113,New York,NO2 Emission New York,43437,153.85466
114,New York,NO2 Emission New York,43451,140.09277
115,New York,NO2 Emission New York,43465,110.88155
116,New York,NO2 Emission New York,43479,131.37505
117,New York,NO2 Emission New York,43493,170.0078
118,New York,NO2 Emission New York,43507,122.01096
119,New York,NO2 Emission New York,43521,136.31537
120,New York,NO2 Emission New York,43535,150.12946
121,New York,NO2 Emission New York,43549,115.13417
122,New York,NO2 Emission New York,43563,96.994446
123,New York,NO2 Emission New York,43577,205.52736
124,New York,NO2 Emission New York,43591,91.14959
125,New York,NO2 Emission New York,43605,74.9135
126,New York,NO2 Emission New York,43619,70.843765
127,New York,NO2 Emission New York,43633,90.02533
128,New York,NO2 Emission New York,43647,66.31936
129,New York,NO2 Emission New York,43661,79.614784
130,New York,NO2 Emission New York,43675,69.64364
131,New York,NO2 Emission New York,43689,73.7786
132,New York,NO2 Emission New York,43703,82.13615
133,New York,NO2 Emission New York,43717,101.84418
134,New York,NO2 Emission New York,43731,111.34419
135,New York,NO2 Emission New York,43745,126.71045
136,New York,NO2 Emission New York,43759,138.81058
137,New York,NO2 Emission New York,43773,161.38223
138,New York,NO2 Emission New York,43787,173.5952
139,New York,NO2 Emission New York,43801,146.64816
140,New York,NO2 Emission New York,43815,149.11421
141,New York,NO2 Emission New York,43829,90.12517
142,New York,NO2 Emission New York,43843,174.16824
143,New York,NO2 Emission New York,43857,130.57649
144,New York,NO2 Emission New York,43871,129.02332
145,New York,NO2 Emission New York,43885,117.4527
146,New York,NO2 Emission New York,43899,113.08158
147,New York,NO2 Emission New York,43913,80.25808
148,New York,NO2 Emission New York,43927,98.8563
149,New York,NO2 Emission New York,43941,66.15653
150,New York,NO2 Emission New York,43955,69.77481
151,New York,NO2 Emission New York,43969,55.44263
152,New York,NO2 Emission New York,43983,69.012146
153,New York,NO2 Emission New York,43997,71.08168
154,New York,NO2 Emission New York,44011,57.376575
155,New York,NO2 Emission New York,44025,64.24045
156,New York,NO2 Emission New York,44039,67.31582
157,New York,NO2 Emission New York,44053,79.35532
158,New York,NO2 Emission New York,44067,66.21645
159,New York,NO2 Emission New York,44081,65.59263
160,New York,NO2 Emission New York,44095,63.022663
161,New York,NO2 Emission New York,44109,100.43977
162,New York,NO2 Emission New York,44123,158.51767
163,New York,NO2 Emission New York,44137,144.69109
164,New York,NO2 Emission New York,44151,107.5656
165,New York,NO2 Emission New York,44165,149.7262
166,New York,NO2 Emission New York,44179,167.86739
167,New York,NO2 Emission New York,44193,106.491196
168,New York,NO2 Emission New York,44207,153.63382
169,New York,NO2 Emission New York,44221,125.844215
170,New York,NO2 Emission New York,44235,242.35147
171,New York,NO2 Emission New York,44249,144.9881
172,New York,NO2 Emission New York,44263,142.3921
173,New York,NO2 Emission New York,44277,159.80846
